host,port,subject_cn,sans,issuer_cn,issuer_org,not_before,not_after,days_until_expiry,serial_number,fingerprint_sha256,is_self_signed,key_usage,status
unmsm.edu.pe,443,paracas.unmsm.edu.pe,,paracas.unmsm.edu.pe,SomeOrganization,2019-06-28T16:21:32+00:00,2020-06-27T16:21:32+00:00,-2178,0x2ac3,E5:A3:26:4C:02:FA:6F:B7:CE:84:0C:34:6E:6B:40:77:76:E7:60:D5:AC:5F:D0:AA:54:BE:48:58:D7:FD:A8:EC,True,digital_signature; key_encipherment,EXPIRED
urp.edu.pe,443,urp.edu.pe,urp.edu.pe,E8,Let's Encrypt,2025-09-19T21:52:19+00:00,2025-12-18T21:52:18+00:00,-177,0x60f87d5f880c6c9e48fffb64587cb2d09bb,C5:46:A4:7F:ED:5E:80:AA:91:BB:41:AF:4E:1A:6C:40:3E:3F:C6:8E:D5:0D:B8:1C:D7:67:5C:42:AC:74:DA:4A,False,digital_signature,EXPIRED
marina.mil.pe,443,www.marina.mil.pe,marina.mil.pe; www.marina.mil.pe,R12,Let's Encrypt,2025-10-31T15:57:04+00:00,2026-01-29T15:57:03+00:00,-136,0x59000f7dd9ee39194ed18448c37a1811442,50:E0:5A:19:0E:6E:8F:BD:AD:BC:BB:B5:1E:AD:FD:7B:9D:79:EF:B8:F9:26:90:D7:57:1E:AE:C3:27:A2:46:BD,False,digital_signature; key_encipherment,EXPIRED
minsa.gob.pe,443,*.minsa.gob.pe,*.minsa.gob.pe; minsa.gob.pe,Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2025-03-25T00:00:00+00:00,2026-03-05T23:59:59+00:00,-100,0x980acf0234d426c73397886863262990,C2:00:3B:AF:61:FE:A8:E1:2E:9A:E4:40:F3:77:1D:89:91:32:4E:35:45:41:E2:50:C3:09:55:EC:C7:57:0C:4F,False,digital_signature; key_encipherment,EXPIRED
uch.edu.pe,443,*.uch.edu.pe,*.uch.edu.pe; uch.edu.pe,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",2025-05-21T16:03:45+00:00,2026-06-22T16:03:45+00:00,8,0x403674fa5722e785,D3:2A:A0:2C:BB:C3:FC:F0:D7:57:B1:CE:79:2F:A5:F3:BA:57:0F:96:38:C1:E4:A2:2A:0F:12:32:49:C1:B6:AB,False,digital_signature; key_encipherment,CRITICAL
minem.gob.pe,443,*.minem.gob.pe,*.minem.gob.pe; minem.gob.pe,Sectigo Public Server Authentication CA OV R36,Sectigo Limited,2025-05-23T00:00:00+00:00,2026-06-23T23:59:59+00:00,10,0x891fe2679554190bcd7e768accc1321d,38:A9:D9:D2:F6:13:68:99:E9:BE:F4:A9:2A:CD:93:F3:E5:59:D4:6D:21:38:AD:0A:70:9B:94:05:28:DA:E7:F5,False,digital_signature; key_encipherment,CRITICAL
cajapaita.pe,443,www.cajapaita.pe,www.cajapaita.pe; b2c.cmac-paita.com.pe; cajapaita.pe; mail.cajapaita.pe,Entrust EV TLS Issuing RSA CA 2,Entrust Limited,2025-06-20T00:00:00+00:00,2026-06-26T23:59:59+00:00,13,0x560ce7645c171692e391dfa1729f1ecb,0B:6D:AF:29:61:5E:92:D1:28:20:A3:17:C4:A9:25:54:5B:D0:DE:0E:0F:E5:9B:5D:D9:E0:B7:09:5D:8B:39:AC,False,digital_signature; key_encipherment,CRITICAL
agrobanco.com.pe,443,*.agrobanco.com.pe,*.agrobanco.com.pe; agrobanco.com.pe,Sectigo Public Server Authentication CA OV R36,Sectigo Limited,2025-06-09T00:00:00+00:00,2026-06-29T23:59:59+00:00,16,0xa41e01e1f9e4f7a1a6998c26ae735b9f,AC:71:86:60:55:17:7F:8F:BE:C5:3D:1A:48:A5:5B:F6:3C:75:9E:F3:BF:9F:07:9D:14:C6:5B:6D:74:AE:B3:12,False,digital_signature; key_encipherment,WARNING
upao.edu.pe,443,*.upao.edu.pe,*.upao.edu.pe; upao.edu.pe,GeoTrust TLS RSA CA G1,DigiCert Inc,2025-06-17T00:00:00+00:00,2026-07-02T23:59:59+00:00,19,0x5785041469ea42ba95309b0023dc31c,81:04:AC:2C:1B:D7:00:D4:F3:25:25:38:B3:66:D9:6E:66:A3:DA:A2:45:A8:17:ED:76:47:4D:2D:86:F3:02:74,False,digital_signature; key_encipherment,WARNING
confianza.pe,443,www.confianza.pe,confianza.pe; www.confianza.pe,R13,Let's Encrypt,2026-04-15T03:59:09+00:00,2026-07-14T03:59:08+00:00,30,0x56c97e5c777064181efb3dc1449d30901ef,70:4D:1D:1D:5B:CD:D9:71:F9:70:49:96:1F:56:4E:56:32:CF:3A:A8:63:17:EE:7A:83:1E:9E:3D:5D:A9:DF:A7,False,digital_signature; key_encipherment,OK
