host,port,subject_cn,sans,issuer_cn,issuer_org,not_before,not_after,days_until_expiry,serial_number,fingerprint_sha256,is_self_signed,key_usage,status
swisscom.ch,443,www.swisscom.com,www.swisscom.com; www1.swisscom.com; www.swisscom.ch; www1.swisscom.ch; swisscom.ch; swisscom.com,SwissSign RSA TLS OV ICA 2022 - 1,SwissSign AG,2025-06-26T18:45:06+00:00,2026-06-26T18:45:06+00:00,13,0x401e9750417b6f2450db4717f241cd82c4f20e2f,D2:A0:A9:E5:5E:E3:C4:73:61:CA:70:F6:E5:6D:8D:EF:62:3D:D3:6B:9C:BD:2A:0A:AF:E0:49:D3:EF:79:41:A4,False,digital_signature; key_encipherment,CRITICAL
zh.ch,443,*.zh.ch,*.zh.ch; zh.ch,DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,2025-05-28T00:00:00+00:00,2026-06-28T23:59:59+00:00,15,0xefe1d8052fef95a63aee7a1527b5566,8E:57:E2:C3:26:42:B7:38:F0:71:79:9C:8E:57:E0:C1:0F:BD:85:66:2B:DB:CD:2D:EB:14:97:C1:FD:7E:96:AF,False,digital_signature; key_encipherment,WARNING
sbb.ch,443,sbb.ch,sbb.ch; origin.www.sbb.ch; ffs.ch; origin.test-www.sbb.ch; cff.ch; origin.dev-www.sbb.ch; origin.int-www.sbb.ch,SwissSign RSA TLS DV ICA 2022 - 1,SwissSign AG,2025-07-21T12:44:08+00:00,2026-07-21T12:44:08+00:00,37,0x631b431107dbaf67d9087884e5970b6ae1465610,78:FB:C0:B9:AC:B9:9A:37:51:42:82:04:4C:49:BE:45:E1:CE:EE:29:55:31:7D:31:F7:D6:D3:13:92:05:D3:E8,False,digital_signature; key_encipherment,OK
uzh.ch,443,www.uzh.ch,uzh.ch; www.uzh.ch; www.uzh.edu,R12,Let's Encrypt,2026-05-18T12:08:00+00:00,2026-08-16T12:07:59+00:00,63,0x5335cce5a1664dd21b61c9e761ed54d0c2a,CE:9F:52:1B:1C:BD:6B:8D:6F:C5:42:7A:FC:08:1D:B1:A9:7A:B0:41:0B:DF:94:99:65:39:6A:F8:3D:E2:4B:D2,False,digital_signature; key_encipherment,OK
unibe.ch,443,www.unibe.ch,portal.unibe.ch; unibe.ch; unibe.net; unibe.swiss; unibern.ch; universitaetbern.ch; www.portal.unibe.ch; www.unibe.ch; www.unibe.net; www.unibe.swiss; www.unibern.ch; www.universitaetbern.ch; www.xn--unibrn-eua.ch; www.xn--universittbern-eib.ch; xn--unibrn-eua.ch; xn--universittbern-eib.ch,R13,Let's Encrypt,2026-05-18T06:37:10+00:00,2026-08-16T06:37:09+00:00,63,0x541b11c1fd8ddf08c394a91efe8904d7f8d,B5:B7:A6:42:55:1B:EB:C5:F8:F6:AB:57:8C:45:00:58:19:01:38:9A:1B:44:D4:84:F1:88:4A:48:F5:B4:37:BB,False,digital_signature; key_encipherment,OK
ost.ch,443,ost.ch,alumni.ost.ch; alumniost.ch; digitallab.ost.ch; events.ost.ch; magazin.ost.ch; ost.ch; vote.hsr.ch; www.ost.ch; www.real.ost.ch; www.vote.hsr.ch; www.wpz.ch,E7,Let's Encrypt,2026-05-25T16:17:40+00:00,2026-08-23T16:17:39+00:00,70,0x51f9e4ebf786ed441f007c86a328f2b995a,6F:2D:50:B7:79:84:58:4A:FF:78:2D:F3:E2:BE:0B:BB:87:9E:56:FF:E1:8C:79:8B:AD:CF:5E:91:35:6B:31:C1,False,digital_signature,OK
ethz.ch,443,ethz.ch,ethz.ch; www.ethz.ch,DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,2025-07-23T00:00:00+00:00,2026-08-23T23:59:59+00:00,71,0xa9771b62553ff34dfbd1f7d118d2d4c,6D:B2:E0:DF:0D:2C:BD:14:32:CD:48:A4:55:6A:60:A3:3F:C1:1B:4F:E3:D7:84:61:C7:F6:12:8A:BD:1B:AA:67,False,digital_signature; key_encipherment,OK
sg.ch,443,sg.ch,sg.ch; www.sg.ch,SwissSign RSA TLS EV ICA 2022 - 1,SwissSign AG,2025-09-03T13:40:36+00:00,2026-09-03T13:40:36+00:00,81,0x41cc3f7970139d928d956c4260a66eb8d540f31d,F7:C0:21:34:C9:39:E5:23:A1:26:05:2C:69:C3:B1:D3:A9:6D:AF:52:D1:6E:57:79:6B:FC:89:0B:6E:19:35:9D,False,digital_signature; key_encipherment,OK
unibas.ch,443,unibas.ch,qm.unibas.ch; unibas.ch; www.unibas.ch,YE2,Let's Encrypt,2026-06-09T00:46:23+00:00,2026-09-07T00:46:22+00:00,85,0x55b595c569ca5a0e0e0647668d42228f567,9A:5B:9B:F7:91:45:E0:97:72:FD:87:4C:36:3C:53:AA:38:9A:14:1C:17:14:DD:7F:46:B3:83:0C:7E:45:4F:7A,False,digital_signature,OK
ubs.com,443,ptr.ubs.com,ptr.ubs.com; credit-suisse.com; lsam.com; lsam.ibb.ubs.com; quotes.ubs.com; ubs.ch; ubs.com; www.lsam.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,2026-02-27T00:00:00+00:00,2026-09-13T23:59:59+00:00,92,0xf2283dd882c374f366c5d246d3f1ad0,ED:4A:D1:4D:4C:3D:2C:DA:41:C7:0F:E0:1B:32:81:FD:64:68:96:CA:13:21:BA:83:53:37:B7:08:CE:09:35:09,False,digital_signature; key_encipherment,OK
